Valuation Date,Curve Name,Date,Value,Label
2015-04-23,USD-Disc,2015-04-24,0.020277215,1D
2015-04-23,USD-Disc,2015-05-29,0.022176598,1M
2015-04-23,USD-Disc,2015-10-29,0.024131521,6M
2015-04-23,USD-Disc,2016-04-29,0.026001277,1Y
2015-04-23,USD-Disc,2017-05-01,0.028040416,2Y
2015-04-23,USD-Disc,2020-04-29,0.030056417,5Y
2015-04-23,USD-Disc,2025-04-30,0.032191282,10Y
2015-04-23,USD-3ML,2015-07-27,0.023251918,3M
2015-04-23,USD-3ML,2016-04-27,0.025274956,1Y
2015-04-23,USD-3ML,2017-04-27,0.027823909,2Y
2015-04-23,USD-3ML,2020-04-27,0.030360916,5Y
2015-04-23,USD-3ML,2025-04-28,0.033035876,10Y
2015-04-23,USD-6ML,2015-10-27,0.024186096,6M
2015-04-23,USD-6ML,2016-04-27,0.027786201,1Y
2015-04-23,USD-6ML,2017-04-27,0.03033329,2Y
2015-04-23,USD-6ML,2020-04-27,0.032867541,5Y
2015-04-23,USD-6ML,2025-04-28,0.035535903,10Y
2015-04-22,USD-Disc,2015-04-23,0.020581364,1D
2015-04-22,USD-Disc,2015-05-28,0.022436571,1M
2015-04-22,USD-Disc,2015-10-28,0.024485398,6M
2015-04-22,USD-Disc,2016-04-27,0.025855713,1Y
2015-04-22,USD-Disc,2017-04-26,0.027700975,2Y
2015-04-22,USD-Disc,2020-04-28,0.030273394,5Y
2015-04-22,USD-Disc,2025-04-28,0.032063125,10Y
2015-04-22,USD-3ML,2015-07-24,0.022795255,3M
2015-04-22,USD-3ML,2016-04-25,0.025487061,1Y
2015-04-22,USD-3ML,2017-04-24,0.027704927,2Y
2015-04-22,USD-3ML,2020-04-24,0.030018044,5Y
2015-04-22,USD-3ML,2025-04-24,0.032905841,10Y
2015-04-22,USD-6ML,2015-10-26,0.024275638,6M
2015-04-22,USD-6ML,2016-04-25,0.028006927,1Y
2015-04-22,USD-6ML,2017-04-24,0.030593114,2Y
2015-04-22,USD-6ML,2020-04-24,0.032669438,5Y
2015-04-22,USD-6ML,2025-04-24,0.035758964,10Y
2015-04-21,USD-Disc,2015-04-22,0.02037657,1D
2015-04-21,USD-Disc,2015-05-28,0.02207364,1M
2015-04-21,USD-Disc,2015-10-27,0.024464962,6M
2015-04-21,USD-Disc,2016-04-27,0.02609834,1Y
2015-04-21,USD-Disc,2017-04-26,0.027817758,2Y
2015-04-21,USD-Disc,2020-04-27,0.030733011,5Y
2015-04-21,USD-Disc,2025-04-25,0.031862783,10Y
2015-04-21,USD-3ML,2015-07-23,0.022518006,3M
2015-04-21,USD-3ML,2016-04-25,0.025315072,1Y
2015-04-21,USD-3ML,2017-04-24,0.027780565,2Y
2015-04-21,USD-3ML,2020-04-23,0.02976411,5Y
2015-04-21,USD-3ML,2025-04-23,0.033332025,10Y
2015-04-21,USD-6ML,2015-10-23,0.024283256,6M
2015-04-21,USD-6ML,2016-04-25,0.027556388,1Y
2015-04-21,USD-6ML,2017-04-24,0.030481142,2Y
2015-04-21,USD-6ML,2020-04-23,0.032673492,5Y
2015-04-21,USD-6ML,2025-04-23,0.036317664,10Y
2015-04-20,USD-Disc,2015-04-21,0.020687816,1D
2015-04-20,USD-Disc,2015-05-27,0.022622445,1M
2015-04-20,USD-Disc,2015-10-26,0.024586945,6M
2015-04-20,USD-Disc,2016-04-26,0.02611585,1Y
2015-04-20,USD-Disc,2017-04-26,0.027554276,2Y
2015-04-20,USD-Disc,2020-04-24,0.030885362,5Y
2015-04-20,USD-Disc,2025-04-24,0.031427791,10Y
2015-04-20,USD-3ML,2015-07-22,0.022873889,3M
2015-04-20,USD-3ML,2016-04-22,0.025416437,1Y
2015-04-20,USD-3ML,2017-04-24,0.028071731,2Y
2015-04-20,USD-3ML,2020-04-22,0.029396976,5Y
2015-04-20,USD-3ML,2025-04-22,0.033466251,10Y
2015-04-20,USD-6ML,2015-10-22,0.024400442,6M
2015-04-20,USD-6ML,2016-04-22,0.028000217,1Y
2015-04-20,USD-6ML,2017-04-24,0.030630911,2Y
2015-04-20,USD-6ML,2020-04-22,0.032437761,5Y
2015-04-20,USD-6ML,2025-04-22,0.03646072,10Y
